,,,Overall,Overall,Overall,Overall,Overall,search,search,search,search,search,search,search,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Control,Control,Control,Control,Control,Control,Control,
Rank,Player,team,K,D,KD,+/-,M,K,D,KD,+/-,K/M,FK,M,K,D,KD,+/-,K/M,TM,M,K,D,KD,+/-,K/M,CP,M,year
1,Cellium,ATL,"3,216","2,684",1.198,532,190,421,329,1.28,92,6.6,44,64,"1,707","1,487",1.148,220,22.2,"5,954",77,"1,088",868,1.254,220,22.2,142,49,2024
2,HyDra,NY,"4,212","3,697",1.139,515,210,497,445,1.117,52,7,90,71,"2,342","2,037",1.15,305,27.2,"3,766",86,"1,373","1,215",1.13,158,25.9,103,53,2024
3,Scrappy,TOR,"3,713","3,211",1.156,502,188,383,367,1.044,16,6.5,73,59,"2,041","1,764",1.157,277,25.8,"4,756",79,"1,289","1,080",1.194,209,25.8,151,50,2024
4,Simp,ATL,"3,726","3,261",1.143,465,190,465,388,1.199,77,7.3,73,64,"2,001","1,750",1.143,251,26,"4,969",77,"1,260","1,123",1.122,137,25.7,177,49,2024
5,Pred,TX,"3,790","3,480",1.089,310,206,448,457,0.98,-9,6.5,78,69,"2,144","1,962",1.093,182,24.6,"3,938",87,"1,198","1,061",1.129,137,24,134,50,2024
6,Drazah,ATL,"3,443","3,219",1.07,224,190,370,397,0.932,-27,5.8,74,64,"1,895","1,762",1.076,133,24.6,"4,954",77,"1,178","1,060",1.111,118,24,190,49,2024
7,Attach,LV,"2,448","2,233",1.096,215,144,332,287,1.157,45,6.8,45,49,"1,264","1,169",1.081,95,21.8,"3,163",58,852,777,1.097,75,23,96,37,2024
8,Sib,NY,"3,722","3,541",1.051,181,210,427,465,0.918,-38,6,80,71,"2,035","1,863",1.092,172,23.7,"4,378",86,"1,260","1,213",1.039,47,23.8,180,53,2024
9,aBeZy,ATL,"3,472","3,292",1.055,180,190,442,404,1.094,38,6.9,121,64,"1,821","1,795",1.015,26,23.6,"3,898",77,"1,209","1,093",1.106,116,24.7,141,49,2024
10,Nero,LV,"2,559","2,381",1.075,178,144,306,336,0.911,-30,6.2,66,49,"1,365","1,217",1.122,148,23.5,"3,854",58,888,828,1.073,60,24,153,37,2024
11,Gwinn,CAR,"2,672","2,506",1.066,166,153,329,339,0.971,-10,6.5,58,51,"1,520","1,410",1.078,110,23.4,"3,641",65,823,757,1.087,66,22.2,95,37,2024
12,Dashy,TX,"3,384","3,219",1.051,165,206,456,422,1.081,34,6.6,45,69,"1,879","1,839",1.022,40,21.6,"7,793",87,"1,049",958,1.095,91,21,233,50,2024
13,Shotzzy,TX,"3,825","3,667",1.043,158,206,492,447,1.101,45,7.1,101,69,"2,121","2,081",1.019,40,24.4,"5,564",87,"1,212","1,139",1.064,73,24.2,162,50,2024
14,Ghosty,LAT,"3,047","2,894",1.053,153,170,345,324,1.065,21,6.3,49,55,"1,750","1,668",1.049,82,23.6,"4,955",74,952,902,1.055,50,23.2,133,41,2024
15,CleanX,TOR,"3,470","3,357",1.034,113,188,383,382,1.003,1,6.5,78,59,"1,922","1,845",1.042,77,24.3,"3,476",79,"1,165","1,130",1.031,35,23.3,129,50,2024
16,Gio,LV,"1,874","1,776",1.055,98,107,209,227,0.921,-18,5.8,24,36,"1,049",934,1.123,115,24.4,"2,090",43,616,615,1.002,1,22,93,28,2024
